time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-19 00:00:00+00:00,7.0,5.0,87,13
2024-08-20 00:00:00+00:00,2.0,2.0,127,23
2024-08-21 00:00:00+00:00,2.0,2.0,155,20
2024-08-22 00:00:00+00:00,3.0,3.0,28,10
2024-08-23 00:00:00+00:00,3.0,3.0,81,10
2024-08-24 00:00:00+00:00,4.0,3.0,9,4
2024-08-25 00:00:00+00:00,5.0,3.0,19,5
2024-08-26 00:00:00+00:00,2.0,2.0,38,11
2024-08-27 00:00:00+00:00,9.0,7.0,149,24
2024-08-28 00:00:00+00:00,4.0,4.0,102,18
2024-08-29 00:00:00+00:00,6.0,6.0,209,14
2024-08-30 00:00:00+00:00,4.0,4.0,129,10
2024-08-31 00:00:00+00:00,3.0,3.0,3,3
2024-09-01 00:00:00+00:00,,,23,4
