url_path,views_total,views_unique
/microsoft/Azure-Analytics-and-AI-Engagement/blob/microsoftfabric/fabric/Readme-shell.md,412,154
/microsoft/Azure-Analytics-and-AI-Engagement,185,104
/microsoft/Azure-Analytics-and-AI-Engagement/blob/microsoftfabric2.0/fabric/Readme-shell.md,119,35
/microsoft/Azure-Analytics-and-AI-Engagement/tree/microsoftfabric2.0/fabric,66,14
/microsoft/Azure-Analytics-and-AI-Engagement/tree/main/microsoft/Azure-Analytics-and-AI-Engagement,43,10
/microsoft/Azure-Analytics-and-AI-Engagement/tree/main/Manufacturing,40,9
/microsoft/Azure-Analytics-and-AI-Engagement/tree/microsoftfabric2.0/fabric/artifacts,38,8
/microsoft/Azure-Analytics-and-AI-Engagement/blob/main/Manufacturing/Readme-shell.md,37,14
/microsoft/Azure-Analytics-and-AI-Engagement/tree/microsoftfabric/fabric,37,11
/microsoft/Azure-Analytics-and-AI-Engagement/tree/microsoftfabric2.0,36,21
