time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-02 00:00:00+00:00,11,7,159,22
2024-05-03 00:00:00+00:00,12,8,84,13
2024-05-04 00:00:00+00:00,7,6,147,10
2024-05-05 00:00:00+00:00,9,5,20,6
2024-05-06 00:00:00+00:00,18,13,143,19
2024-05-07 00:00:00+00:00,7,6,84,24
2024-05-08 00:00:00+00:00,4,4,120,19
2024-05-09 00:00:00+00:00,12,10,115,15
2024-05-10 00:00:00+00:00,14,8,247,15
2024-05-11 00:00:00+00:00,4,3,12,4
2024-05-12 00:00:00+00:00,12,6,12,4
2024-05-13 00:00:00+00:00,11,7,53,14
2024-05-14 00:00:00+00:00,5,4,128,25
2024-05-15 00:00:00+00:00,7,4,190,27
