Symbol,Name,Url,Date_Published,Description,Sentiment,Positive_Score,Negative_Score,Neutral_Score
WMT,"Noteworthy Wednesday Option Activity: WMT, BZH, FB",https://www.nasdaq.com/articles/noteworthy-wednesday-option-activity%3A-wmt-bzh-fb-2021-03-10,2021-03-10T20:19:00.0000000Z,"Especially high volume was seen for the $20 strike call option expiring March 19, 2021, with 3,262 contracts trading so far today, representing approximately 326,200 underlying shares of BZH. Below is a chart showing BZH's trailing twelve month trading history,",negative,0.0,0.84,0.16
WMT,Why ChromaDex Stock Blasted Almost 30% Higher Today Before Falling Into the Red,https://www.msn.com/en-us/finance/topstocks/why-chromadex-stock-blasted-almost-30-25-higher-today-before-falling-into-the-red/ar-BB1esxPq,2021-03-10T20:24:00.0000000Z,"Bioscience company ChromaDex (NASDAQ:CDXC) got off to a roaring start on Wednesday, rising nearly 29% in early trading, before melting to a 2.3% decline by midafternoon. A big distribution deal was the reason for the sudden pop.",neutral,0.1,0.17,0.73
WMT,Rotation Is the Name of the Game,https://realmoney.thestreet.com/investing/stocks/rotation-is-the-name-of-the-game-15592453,2021-03-10T21:55:00.0000000Z,"Boeing (BA) and Walmart (WMT) are a couple of names in the right sectors that helped to push the Dow higher. The key leadership groups were oils, tankers, and some commodity-related names.",positive,0.97,0.01,0.02
WMT,3 Top Stocks to Buy After Last Week's Sell-Off,https://www.msn.com/en-us/finance/topstocks/3-top-stocks-to-buy-after-last-weeks-sell-off/ar-BB1ersG9,2021-03-10T11:15:00.0000000Z,"Shopify fell by 12% and Tesla declined by 11%. If you are a bargain hunter, the good news is that there are some decent deals out there right now -- but there's no guarantee how long they may last. Three stocks that look particularly attractive right now are Cerner (NASDAQ:CERN),",mixed,0.62,0.27,0.11
WMT,Why small grocery stores are (still) out of toilet paper,https://www.cnn.com/2021/03/10/business/small-stores-out-of-stock/index.html,2021-03-10T11:50:00.0000000Z,"Major suppliers of consumer products, faced with limited supply and high demand, are prioritizing their biggest retail customers like Walmart (WMT) and Amazon (AMZN), according to the trade group representing independent grocery stores in the United States.",neutral,0.0,0.01,0.99
WMT,Best Stocks To Buy Now? 4 Health Care Stocks To Watch,https://www.nasdaq.com/articles/best-stocks-to-buy-now-4-health-care-stocks-to-watch-2021-03-10,2021-03-10T18:40:00.0000000Z,"Given all of this, there is a lot of potential for investors who are looking to invest in health care stocks. With that in mind, here is a list of top health care stocks to consider buying. MediciNova is a health care company that is developing novel therapeutics with a focus on neurology,",positive,0.86,0.01,0.13
WMT,WGN-TV meteorologist Mike Hamernik dies at 60,https://chicago.suntimes.com/2021/3/10/22323272/mike-hamernik-wgn-tv-meteorologist-dead-60,2021-03-10T16:54:00.0000000Z,"in 1992 where he worked as a meteorologist for KGAN-TV with CBS and WMT-AM/FM. He then worked from 1994 to 2001 as chief meteorologist at KTTC-TV with NBC in Rochester, Minnesota, before moving ...",neutral,0.02,0.01,0.97
WMT,"Dow ends above 32,000 milestone for first time. Here's how it got there",https://www.morningstar.com/news/marketwatch/20210310828/dow-ends-above-32000-milestone-for-first-time-heres-how-it-got-there,2021-03-10T16:06:00.0000000Z,"The Dow Jones Industrial Average on Wednesday closed above the psychologically significant 32,000 level, registering a milestone during a turbulent period for the stock market as the economic recovery from the pandemic takes shape.",neutral,0.01,0.07,0.92
WMT,Carter-Williams' Analysts Breakdown 2 Solid Stocks for Growth and Dividends For 2021,https://www.marketwatch.com/press-release/carter-williams-analysts-breakdown-2-solid-stocks-for-growth-and-dividends-for-2021-2021-03-10,2021-03-10T13:54:00.0000000Z,This implies the new pullback may be simply a solid recalibration for a market that is up 75% since its March 2020 lows. Carter-Williams' analysts say that technology is probably going to keep on driving business sector development.,neutral,0.04,0.02,0.94
WMT,Kroger Is Flush With Cash,https://markets.businessinsider.com/news/stocks/kroger-is-flush-with-cash-9894999,2021-03-10T05:06:00.0000000Z,The supermarket chain had seen a huge lift from the pandemic while even managing to improve its market share position against rivals like Walmart (NYSE: WMT).Its detailed results showed continued ...,neutral,0.22,0.31,0.47
