Country,Product_Category,Product,Channel,Gender,Sessions,Device_Category,Sources,Conversations,Page,Visits,Unique_Visitors,Browser,Sentiment,Duration_min,Region,Customer_Segment,Daily_Users,Conversion_Rate,Return_Visitors,Tweets,Retweets,Hashtags,Campaign_Name
USA,Binoculars,AstraTrack PRO IR 10x42,Online,Fem; Male,1247,Desktop,Google,Twitter,Shipping Details,459,127,Internet Explorer,Neutral,8,South America,Boomer; GenX; GenY; GenZ,221,45,76,1572,39,EyeMask,Get Sporty
USA,Helmet,Warrior Hulk,Online,Fem; Male,632,Mobile,Yahoo,Twitter,Shipping Details,471,146,Firefox,Positive,5,Europe,Gen Z (2000s - now),479,21,146,1690,36,OffRoadTires,Hit the Track
USA,Helmet,Racetrack CXTR 300,Online,Female,867,Desktop,Facebook,Facebook,Products,592,59,Internet Explorer,Neutral,5,Asia Pacific,Gen X (60 – 80s),410,48,59,1046,33,HulkHelmet,Fun with Colors
USA,Sunglasses,Sportax Path,Online,Male,756,Tablet,Yahoo,Twitter,Shipping Details,475,98,Internet Explorer,Positive,4,South America,Gen X (60 – 80s),461,19,98,616,44,EmergencyBraking,Hit the Track
USA,Sunglasses,Shark NXT Field Track,Online,Female,639,Tablet,Yahoo,Facebook,Shipping Details,445,99,Internet Explorer,Positive,5,Europe,Gen Z (2000s - now),495,11,99,1633,22,RaceTrack,Racer Club
USA,Helmet,Cruiser WRX,Online,Fem; Male,893,Mobile,Yahoo,Facebook,HomePage,527,109,Internet Explorer,Neutral,1,South America,Gen Z (2000s - now),226,33,109,577,29,Premium,Beyond Wheels
USA,Alloy Wheel,WHEEL FORGED 12.25 x 23.02 285 PCD 26 BOLT 10 STUD,Online,Fem; Male,1251,Mobile,Direct,Twitter,Shipping Details,400,183,Firefox,Positive,6,South America,Boomer; GenX; GenY; GenZ,271,34,105,618,32,BeatMySteel,Racer Club
USA,Binoculars,RacerView HD 20x50,Online,Male,961,Tablet,Others,Twitter,Contact Us,522,54,Internet Explorer,Positive,2,Europe,Gen Y (80 – 2000s),216,35,54,1820,26,RaceTrack,Get Sporty
USA,Spinner,SPINNER WHEEL ADVANCED COMPOSITE SPINNER 12.25 x 23.02 285 PCD 26 BOLT 10 STUD,Online,Female,893,Tablet,Others,Facebook,HomePage,500,76,Internet Explorer,Neutral,3,Asia Pacific,Gen X (60 – 80s),405,14,76,1152,33,Funky,Wheels That Matter
USA,Spinner,WHEEL ADVANCED COMPOSITE SPINNER 12.25 X 23.02.335 PCD 32 BOLT 10 STUD,Online,Male,541,Tablet,Direct,Blogs,Contact Us,596,136,Internet Explorer,Positive,3,South America,Baby Boomers (45 – 60s),407,43,136,1817,44,MetalWheel,Fun with Colors
USA,Spoiler,Front?Spoiler,Online,Male,952,Mobile,Google,Facebook,Contact Us,474,82,Firefox,Negative,3,Europe,Gen Z (2000s - now),242,47,82,1678,54,StoneAge,Hit the Track
USA,Sunglasses,Shark Track,Online,Fem; Male,1281,Mobile,Direct,Facebook,Contact Us,491,119,Firefox,Positive,1,South America,Baby Boomers (45 – 60s),362,20,119,950,27,BoringBeige,Beyond Wheels
USA,Alloy Wheel,WHEEL INSIDE POLISH 23.02 X 10.15 285 PCD 26 BOLT 10 STUD,Online,Other,1287,Mobile,Direct,Twitter,Shipping Details,458,195,Internet Explorer,Positive,4,South America,Boomer; GenX; GenY; GenZ,214,26,109,509,25,ChromeRims,Hit the Track
USA,Alloy Wheel,WHEEL SUPERCHROME 12.15 X 23.02.35 PCD 32 BOLT 10 STUD,Online,Female,774,Tablet,Yahoo,Forum,Shipping Details,475,122,Internet Explorer,Positive,5,Europe,Baby Boomers (45 – 60s),390,13,122,1312,50,DazzleSpin,Hit the Track
USA,Hat,Snapback,Online,Fem; Male,511,Mobile,Yahoo,Twitter,Contact Us,431,158,Internet Explorer,Positive,3,Asia Pacific,Gen X (60 – 80s),234,25,158,1870,94,Formula1,Racer Club
USA,Spoiler,Lighted?Spoiler,Online,Male,898,Tablet,Yahoo,Forum,Shipping Details,519,132,Internet Explorer,Neutral,3,South America,Boomer; GenX; GenY; GenZ,283,44,82,1158,28,Race,Beyond Wheels
USA,Sunglasses,Sportax Path,Online,Fem; Male,1279,Tablet,Yahoo,Twitter,Shipping Details,403,194,Internet Explorer,Positive,2,Europe,Gen X (60 – 80s),422,20,194,1676,39,NightFight,Wheels of Steel
USA,Sunglasses,PlayMax Field,Online,Fem; Male,566,Tablet,Google,Facebook,Shipping Details,507,144,Firefox,Positive,3,South America,Boomer; GenX; GenY; GenZ,375,45,180,1156,46,HulkHelmet,Racer Club
USA,Alloy Wheel,WHEEL ADVANCED COMPOSITE 12.25 X 23.02 285 PCD 106 INSET 10 STUD,Online,Male,952,Mobile,Google,Facebook,HomePage,527,109,Internet Explorer,Neutral,1,South America,Gen Z (2000s - now),226,33,109,547,22,RaceCar,Racer Club
USA,Sunglasses,PlayMax Field,Online,Male,640,Mobile,Bing,Facebook,HomePage,566,78,Internet Explorer,Neutral,5,Europe,Baby Boomers (45 – 60s),263,39,78,659,30,OffRoad,Racer Club
USA,Helmet,Cruiser WRX,Online,Male,884,Desktop,Yahoo,Forum,Shipping Details,538,69,Firefox,Positive,5,Asia Pacific,Gen Z (2000s - now),481,48,69,870,27,LetsRace,Hit the Track
USA,Brake Pad,Semi Metallic 33LR,Online,Male,764,Tablet,Bing,Forum,Shipping Details,543,112,Firefox,Positive,8,South America,Boomer; GenX; GenY; GenZ,445,10,79,1827,20,NeedForSpeed,Wheels That Matter
USA,Spinner,WHEEL ADVANCED COMPOSITE SPINNER 12.25 X 23.02.335 PCD 32 BOLT 10 STUD,Online,Fem; Male,1291,Tablet,Yahoo,Twitter,Shipping Details,516,136,Firefox,Positive,5,Europe,Gen X (60 – 80s),253,16,136,908,36,DazzleSpin,Fun with Colors
USA,Spoiler,Lighted?Spoiler,Online,Fem; Male,1293,Mobile,Direct,Facebook,Shipping Details,585,151,Internet Explorer,Negative,8,South America,Boomer; GenX; GenY; GenZ,458,10,182,745,42,OffRoad,Wheels of Steel
USA,Brake Pad,Low Metallic NAO 35XST,Online,Fem; Male,952,Mobile,Direct,Twitter,Contact Us,491,119,Firefox,Positive,1,South America,Baby Boomers (45 – 60s),362,20,119,1334,59,EmergencyBraking,Hit the Track
USA,Hat,Baseball Cap,Online,Male,854,Mobile,Direct,Blogs,HomePage,507,176,Internet Explorer,Positive,5,Europe,Gen Z (2000s - now),443,20,176,1577,50,RaceEachother,Racer Club
USA,Hat,Fedora,Online,Male,940,Tablet,Facebook,Twitter,Contact Us,515,124,Internet Explorer,Negative,1,Asia Pacific,Baby Boomers (45 – 60s),361,25,124,285,28,GorgeousGlares,Racer Club
USA,Alloy Wheel,WHEEL ALLOY STEEL SUPERCHROME 19.5 X 7.5 275 PCD 26 BOLT 8 STUD,Online,Male,782,Mobile,Direct,Facebook,Products,408,141,Firefox,Negative,6,North & Central America,Boomer; GenX; GenY; GenZ,330,14,77,962,45,SportsConvertible,Fun with Colors
USA,Spoiler,GTC Carbon Fiber Spoiler,Online,Male,1307,Desktop,Google,Twitter,HomePage,599,177,Internet Explorer,Positive,7,Europe,Boomer; GenX; GenY; GenZ,268,30,138,831,59,Racing,Hit the Track
USA,Sunglasses,Shark Track,Online,Other,1290,Mobile,Others,Forum,Contact Us,567,193,Firefox,Positive,4,South America,Gen Y (80 – 2000s),282,38,193,741,35,EmeraldBeauty,Fun with Colors
USA,Sunglasses,SportBand Flak RADR ,Online,Fem; Male,1291,Tablet,Yahoo,Twitter,Shipping Details,507,144,Firefox,Positive,3,South America,Boomer; GenX; GenY; GenZ,375,45,180,777,86,AttackTheTrack,Hit the Track
USA,Sunglasses,Shark NXT Field Track,Online,Fem; Male,893,Mobile,Yahoo,Facebook,Products,470,58,Internet Explorer,Neutral,4,Europe,Gen X (60 – 80s),455,10,58,1347,89,BeatMySteel,Racer Club
USA,Spoiler,Roof?Spoiler,Online,Fem; Male,917,Mobile,Direct,Twitter,Shipping Details,459,127,Internet Explorer,Neutral,8,South America,Boomer; GenX; GenY; GenZ,221,45,76,648,66,Race,Wheels That Matter
USA,Alloy Wheel,WHEEL ADVANCED COMPOSITE 10.15 X 23.02. 335 PCD 26 BOLT 10 STUD,Online,Female,503,Mobile,Facebook,Blogs,Products,425,158,Firefox,Negative,3,North & Central America,Baby Boomers (45 – 60s),329,11,158,1492,39,Rims,Hit the Track
USA,Alloy Wheel,WHEEL INSIDE POLISH 10.15 X 23.02 335 PCD 26 BOLT 10 STUD,Online,Fem; Male,1264,Tablet,Facebook,Blogs,Contact Us,499,103,Firefox,Negative,2,Europe,Gen Z (2000s - now),298,30,103,1030,46,Anytime,Racer Club
USA,Sunglasses,NovaVision Track,Online,Male,605,Desktop,Google,Blogs,HomePage,579,154,Internet Explorer,Positive,2,South America,Gen Y (80 – 2000s),269,15,154,1308,24,Extravagant,Beyond Wheels
USA,Alloy Wheel,WHEEL ALLOY STEEL SUPERCHROME 17.5 X 6.75 225 PCD 26 BOLT 10 STUD,Online,Male,1307,Desktop,Google,Twitter,Shipping Details,585,151,Internet Explorer,Negative,8,South America,Boomer; GenX; GenY; GenZ,458,10,182,1858,31,EmergencyBraking,Racer Club
USA,Spinner,WHEEL ADVANCED COMPOSITE SPINNER 10.15 X 23.02 X 335 PCD 32 BOLT 10 STUD,Online,Fem; Male,1281,Mobile,Direct,Facebook,HomePage,569,107,Firefox,Neutral,4,Europe,Boomer; GenX; GenY; GenZ,364,49,148,1299,22,Sunglasses,Racer Club
USA,Sunglasses,SportBand Flak RADR ,Online,Male,1265,Desktop,Google,Facebook,Shipping Details,400,183,Firefox,Positive,6,South America,Boomer; GenX; GenY; GenZ,271,34,105,1938,40,Premium,Fun with Colors
