Region,Country,Campaign_Name,Revenue,Revenue_Target,City,State,RoleID
South East,US,Patient Stories,"$11,564.00 ","$19,306.00 ",Miami,Florida,NULL
Southern California,US,For Your Life,"$6,497.00 ","$6,147.00 ",Los Angeles,California,NULL
South East,US,Hit the track,"$11,620.00 ","$17,230.00 ",Miami,Florida,20
South East,US,Patient Stories,"$9,963.00 ","$18,377.00 ",Miami,Florida,NULL
Southern California,US,For Your Life,"$16,850.00 ","$15,753.00 ",Los Angeles,California,NULL
South East,US,Hit the track,"$5,333.00 ","$7,346.00 ",Miami,Florida,20
South East,US,Patient Stories,"$17,488.00 ","$9,941.00 ",Miami,Florida,NULL
Southern California,US,For Your Life,"$7,264.00 ","$9,868.00 ",Los Angeles,California,NULL
South East,US,Hit the track,"$14,114.00 ","$15,482.00 ",Miami,Florida,20
South East,US,Patient Stories,"$8,628.00 ","$12,622.00 ",Miami,Florida,NULL
Southern California,US,For Your Life,"$16,062.00 ","$7,721.00 ",Los Angeles,California,NULL
South East,US,Hit the track,"$14,114.00 ","$15,482.00 ",Miami,Florida,20
South East,US,Patient Stories,"$8,628.00 ","$12,622.00 ",Miami,Florida,NULL
Southern California,US,For Your Life,"$6,414.00 ","$12,619.00 ",Los Angeles,California,NULL
South East,US,Hit the track,"$11,620.00 ","$17,230.00 ",Miami,Florida,20
South East,US,Patient Stories,"$9,963.00 ","$18,377.00 ",Miami,Florida,NULL
Southern California,US,For Your Life,"$6,593.00 ","$17,096.00 ",Los Angeles,California,NULL
South East,US,Hit the track,"$5,333.00 ","$7,346.00 ",Miami,Florida,20
South East,US,Patient Stories,"$17,488.00 ","$9,941.00 ",Miami,Florida,NULL
Southern California,US,For Your Life,"$9,140.00 ","$19,323.00 ",Los Angeles,California,NULL
South East,US,Hit the track,"$10,182.00 ","$13,630.00 ",Miami,Florida,20
South East,US,Patient Stories,"$11,564.00 ","$19,306.00 ",Miami,Florida,NULL
Southern California,US,For Your Life,"$9,668.00 ","$14,658.00 ",Los Angeles,California,NULL
South East,US,Hit the track,"$10,182.00 ","$13,630.00 ",Miami,Florida,20
South East,US,Care Like Family,"$5,972.00 ","$10,692.00 ",Miami,Florida,20
Southern California,US,For Your Life,"$8,264.00 ","$19,049.00 ",Los Angeles,California,NULL
South East,US,For Your Life,"$7,146.00 ","$17,780.00 ",Miami,Florida,NULL
South East,US,Care Like Family,"$5,622.00 ","$12,306.00 ",Miami,Florida,NULL
Southern California,US,For Your Life,"$9,761.00 ","$13,831.00 ",Los Angeles,California,NULL
South East,US,For Your Life,"$7,842.00 ","$10,624.00 ",Miami,Florida,NULL
South East,US,Care Like Family,"$7,264.00 ","$9,868.00 ",Miami,Florida,20
