ID,TwitterData
684,"{""Time"":""2019-10-25T08:50:15.2240000Z"",""Hashtag"":""#fashion"",""Tweet"":""RT @tellychakkar: The actress surely gives us some style goals. nn#sanayairani #actress #fashion #fashiongoals #tellychakkarnnhttps://t.co/…"",""City"":""India"",""UserName"":""AJ"",""RetweetCount"":8,""FavouriteCount"":15,""Sentiment"":""Positive"",""SentimentScore"":10,""IsRetweet"":1,""HourOfDay"":""14"",""Language"":""English""}"
1104,"{""Time"":""2019-10-25T08:51:18.3110000Z"",""Hashtag"":""#fashion"",""Tweet"":""#makeup #cosmetic #fashion #eyeshadow #lipstick #gloss #mascara #palettes #eyeliner #lip #lips #tar #concealer… https://t.co/krYqL8nXKn"",""City"":null,""UserName"":""hepemadotcom"",""RetweetCount"":0,""FavouriteCount"":0,""Sentiment"":""Neutral"",""SentimentScore"":5,""IsRetweet"":0,""HourOfDay"":""14"",""Language"":""English""}"
1944,"{""Time"":""2019-10-25T01:43:03.5990000Z"",""Hashtag"":""#sunglasses"",""Tweet"":""Just a simple girl wishing to live in world where drivers don’t slam their brakes because of sun glare.  ???? #Sunglasses #Visors"",""City"":""New Jersey"",""UserName"":""Dani?Lawnie"",""RetweetCount"":0,""FavouriteCount"":0,""Sentiment"":""Neutral"",""SentimentScore"":5,""IsRetweet"":0,""HourOfDay"":""7"",""Language"":""English""}"
1524,"{""Time"":""2019-10-25T08:51:37.7940000Z"",""Hashtag"":""#fashion"",""Tweet"":""Cone Denim to offer the revolutionary CiCLO technology https://t.co/bjMGvgGZck #fashion #apparel"",""City"":null,""UserName"":""tham.danyii"",""RetweetCount"":0,""FavouriteCount"":0,""Sentiment"":""Neutral"",""SentimentScore"":5,""IsRetweet"":0,""HourOfDay"":""14"",""Language"":""English""}"
564,"{""Time"":""2019-10-25T08:50:02.7370000Z"",""Hashtag"":""#fashion"",""Tweet"":""Just look, that`s outstanding!nn#fashion #style #beautiful #jewelry #beauty #stylish https://t.co/JHtp3QkS4o"",""City"":null,""UserName"":""basketbug"",""RetweetCount"":0,""FavouriteCount"":0,""Sentiment"":""Positive"",""SentimentScore"":10,""IsRetweet"":0,""HourOfDay"":""14"",""Language"":""English""}"
264,"{""Time"":""2019-10-25T08:49:19.9490000Z"",""Hashtag"":""#shopping"",""Tweet"":""RT @ViecBuonBan: Coffee Highlands Culi Blend $10.52 #Coffee #HighlandsCoffee #Culi #Vietnam #Shopping Please RT! https://t.co/xMApaclXZj ht…"",""City"":""Potsdam, Germany"",""UserName"":""Kurt Hennig"",""RetweetCount"":1,""FavouriteCount"":1,""Sentiment"":""Positive"",""SentimentScore"":10,""IsRetweet"":1,""HourOfDay"":""14"",""Language"":""English""}"
144,"{""Time"":""2019-10-25T08:39:48.4220000Z"",""Hashtag"":""#sunglasses"",""Tweet"":""Sale $3.95 https://t.co/X9wBBOeiyH Foster Grant #women #sunglasses Brown NWT https://t.co/7EvQRd08xL"",""City"":""West Hartford, CT"",""UserName"":""brandbazzar"",""RetweetCount"":0,""FavouriteCount"":0,""Sentiment"":""Neutral"",""SentimentScore"":5,""IsRetweet"":0,""HourOfDay"":""14"",""Language"":""English""}"
1404,"{""Time"":""2019-10-25T08:51:33.9030000Z"",""Hashtag"":""#fashion"",""Tweet"":""Under Armour names Patrik Frisk as the new CEO https://t.co/nNpUgvS4kp #fashion #apparel"",""City"":null,""UserName"":""tham.danyii"",""RetweetCount"":0,""FavouriteCount"":0,""Sentiment"":""Neutral"",""SentimentScore"":5,""IsRetweet"":0,""HourOfDay"":""14"",""Language"":""English""}"
1824,"{""Time"":""2019-10-25T01:24:06.5320000Z"",""Hashtag"":""#sunglasses"",""Tweet"":""RT @SimpliousS: A real pickup for you!nn#homedecor #lightening #gadgets #electronics #jewelry #watches #simplious #accessories #sunglasses…"",""City"":null,""UserName"":""Menz Watchez"",""RetweetCount"":1,""FavouriteCount"":0,""Sentiment"":""Positive"",""SentimentScore"":10,""IsRetweet"":1,""HourOfDay"":""6"",""Language"":""English""}"
624,"{""Time"":""2019-10-25T08:50:08.5740000Z"",""Hashtag"":""#fashion"",""Tweet"":"".@ASOS bosses have missed out on bonuses for the second consecutive year.nn#fashion #retailnews #annualreport nnhttps://t.co/OX2PkGAeil"",""City"":""London"",""UserName"":""Retail Gazette"",""RetweetCount"":0,""FavouriteCount"":0,""Sentiment"":""Neutral"",""SentimentScore"":5,""IsRetweet"":0,""HourOfDay"":""14"",""Language"":""English""}"
