Region,Country,Product_Category,Campaign_Name,Revenue,Revenue_Target,City,State
Asia Pacific,India,Apparel and Footwear,Get Sporty,"$11,231.00","$18,669.00",NULL,NULL
Asia Pacific,Australia,Exercise,Be Unique,"$6,580.00","$5,490.00",NULL,NULL
South America,Mexico,Exercise,Spring into Summer,"$17,637.00","$6,876.00",NULL,NULL
Europe,Germany,Apparel and Footwear,Fall into Winter,"$5,117.00","$8,713.00",NULL,NULL
Europe,Italy,Exercise,Enjoy the Moment,"$11,838.00","$13,538.00",NULL,NULL
North & Central America,Canada,Lighting,Fun with Colors,"$13,349.00","$16,936.00",NULL,NULL
Europe,France,Furniture,Get Sporty,"$13,124.00","$14,955.00",NULL,NULL
Europe,Germany,Pillows & Cushions,Fun with Colors,"$14,290.00","$10,487.00",NULL,NULL
Asia Pacific,Australia,Pillows & Cushions,Be Unique,"$12,409.00","$10,914.00",NULL,NULL
Asia Pacific,Korea,Décor,Be Unique,"$17,627.00","$11,422.00",NULL,NULL
Europe,Spain,Exercise,Be Unique,"$9,761.00","$13,831.00",NULL,NULL
North & Central America,Canada,Electronics,Fun with Colors,"$10,480.00","$7,379.00",NULL,NULL
Europe,France,Lighting,Enjoy the Moment,"$15,119.00","$17,269.00",NULL,NULL
North & Central America,USA,Lighting,Tailored for You,"$15,670.00","$5,412.00",NULL,NULL
Europe,Italy,Apparel and Footwear,Be Unique,"$12,366.00","$11,187.00",NULL,NULL
South America,Brazil,Décor,Tailored for You,"$9,229.00","$16,528.00",NULL,NULL
Europe,France,Exercise,Be Unique,"$11,703.00","$9,822.00",NULL,NULL
North & Central America,Canada,Exercise,Fall into Winter,"$16,386.00","$9,989.00",NULL,NULL
Europe,France,Pillows & Cushions,Enjoy the Moment,"$15,557.00","$14,176.00",NULL,NULL
Europe,UK,Pillows & Cushions,Enjoy the Moment,"$12,642.00","$11,692.00",NULL,NULL
Europe,Italy,Furniture,Spring into Summer,"$17,484.00","$9,517.00",NULL,NULL
Europe,Spain,Apparel and Footwear,Tailored for You,"$5,684.00","$5,400.00",NULL,NULL
Europe,UK,Furniture,Be Unique,"$5,120.00","$16,652.00",NULL,NULL
Europe,Spain,Furniture,Be Unique,"$12,191.00","$14,106.00",NULL,NULL
Europe,Turkey,Apparel and Footwear,Be Unique,"$11,719.00","$19,049.00",NULL,NULL
South America,Mexico,Décor,Tailored for You,"$14,316.00","$19,274.00",NULL,NULL
Asia Pacific,China,Exercise,Get Sporty,"$5,484.00","$11,469.00",NULL,NULL
Europe,Italy,Furniture,Spring into Summer,"$7,505.00","$19,524.00",NULL,NULL
Asia Pacific,China,Décor,Enjoy the Moment,"$14,605.00","$18,971.00",NULL,NULL
South America,Brazil,Apparel and Footwear,Enjoy the Moment,"$5,103.00","$6,799.00",NULL,NULL
Europe,France,Décor,Be Unique,"$6,593.00","$17,096.00",NULL,NULL
North & Central America,USA,Pillows & Cushions,Enjoy the Moment,"$10,414.00","$9,245.00",NULL,NULL
South America,Brazil,Lighting,Spring into Summer,"$10,934.00","$19,723.00",NULL,NULL
South America,Mexico,Apparel and Footwear,Spring into Summer,"$8,121.00","$10,451.00",NULL,NULL
Asia Pacific,Korea,Lighting,Tailored for You,"$13,006.00","$15,079.00",NULL,NULL
South East,US,Team Sports,Spring into Summer,"$14,114.00","$15,482.00",Miami,Florida
