accountid,accountcategorycode,accountclassificationcode,accountratingcode,address1_addressid,address1_addresstypecode,address1_city,address1_country,address1_composite,address1_fax,address1_line1,address1_primarycontactname,address1_shippingmethodcode,address1_utcoffset,address2_line1,adx_modifiedbyipaddress,adx_modifiedbyusername
1ec0e18b-6ec3-e911-a987-000d3a19907d,"",1,1,9734291a-9622-4347-b2fb-0bec8bf4577a,"",Glen Easton,"",9876 Cherry Court,"","","","","","","",""
"",Glen Easton,WV 88907,"","","","","","","","","","","","","",""
"","US\"",US,"","",9876 Cherry Court,"","","",88907,"",11fd173d-6b21-4cf9-a489-6a48dab12557,1,1,1,1,5a8d94ab-7989-4d79-bb97-f953d4e4f616
2ec0e18b-6ec3-e911-a987-000d3a19907d,"",1,1,a56406e8-cdc5-4139-87dc-af36da02f0f3,"",Little Birch,"",6789 Apple Court,"","","","","","","",""
"",Little Birch,WV 55432,"","","","","","","","","","","","","",""
"","US\"",US,"","",6789 Apple Court,"","","",55432,"",9533507e-f9f5-4bde-8b7b-5582b81114d0,1,1,1,1,5a8d94ab-7989-4d79-bb97-f953d4e4f616
068c048e-6ec3-e911-a97e-000d3a1991fc,"",1,1,d68b39f9-e902-47c9-a39e-99f061a693ff,"",Cainsville,"",4553 Hawthorn Lane,"","","","","","","",""
"",Cainsville,MO 00987,"","","","","","","","","","","","","",""
"","US\"",US,"","",4553 Hawthorn Lane,"","","",00987,"",eeb20033-7d8a-47a4-86fa-9322ffd98f8e,1,1,1,1,5a8d94ab-7989-4d79-bb97-f953d4e4f616
108c048e-6ec3-e911-a97e-000d3a1991fc,"",1,1,754db682-869c-413e-800a-88b0952a87fe,"",Elma,"",345 Spruce Lane,"","","","","","","",""
"",Elma,NY 05432,"","","","","","","","","","","","","",""
"","US\"",US,"","",345 Spruce Lane,"","","",05432,"",8e71962f-c62a-459d-8fa5-f20dd9893f09,1,1,1,1,5a8d94ab-7989-4d79-bb97-f953d4e4f616
c028ac8c-6ec3-e911-a985-000d3a199795,"",1,1,f86193a4-388c-41aa-a24f-e595d40dec35,"",Memphis,"",3456 Elm Drive,"","","","","","","",""
"",Memphis,TN 98052,"","","","","","","","","","","","","",""
"","US\"",US,"","",3456 Elm Drive,"","","",98052,"",1b3cf466-8756-486b-a0de-356155d41598,1,1,1,1,5a8d94ab-7989-4d79-bb97-f953d4e4f616
5c8c158f-6ec3-e911-a98c-000d3a1998fb,"",1,1,82f14323-0395-44c9-96e2-ccbfc99d8ba0,"",Bayamon,"",45 Birch  Court,"","","","","","","",""
"",Bayamon,PR 90876,"","","","","","","","","","","","","",""
"","US\"",US,"","",45 Birch  Court,"","","",90876,"",66994542-2e3e-409f-83d1-b30ffa9b7467,1,1,1,1,5a8d94ab-7989-4d79-bb97-f953d4e4f616
bc61ab8b-6ec3-e911-a980-000d3a199997,"",1,1,189b61f5-81c9-42a9-8681-5750baa0f7f9,"",Warsaw,"",4537 EDNEY Drive,"","","","","","","",""
"",Warsaw,IN 46580,"","","","","","","","","","","","","",""
"","US\"",US,"","",4537 EDNEY Drive,"","","",46580,"",1000f1f7-4210-4a14-9587-7dd7956c16dc,1,1,1,1,5a8d94ab-7989-4d79-bb97-f953d4e4f616
c29cbc91-6ec3-e911-a980-000d3a199997,"",1,1,83bf14e4-8472-4323-bf22-66ccec19027a,"",Albany,"",234 Oak Court,"","","","","","","",""
"",Albany,NY 98052,"","","","","","","","","","","","","",""
"","US\"",US,"","",234 Oak Court,"","","",98052,"",dff64d9f-f2a1-40b8-90aa-1d2291ee02d0,1,1,1,1,5a8d94ab-7989-4d79-bb97-f953d4e4f616
93c71621-bd9f-e711-8122-000d3a2ba2ea,"",1,1,f31956ee-e8f7-4769-bd01-0ff34e66b9b4,"","","","","","","","","","","",""
475b158c-541c-e511-80d3-3863bb347ba8,"",1,1,43ef81bb-754a-47ba-a8ef-d164099968bb,"",Guangzhou,"",Magui Lan,"","","","","","","",""
"",Guangzhou,Guangdong 650031,"","","","","","","","","","","","","",""
"","Republic of China\"",Republic of China,"","",Magui Lan,"","","",650031,"",e6b08902-6ec0-4c79-92fb-92dcf4321c8e,1,1,1,1,2d478546-3616-eb11-a813-000d3a569529
notebooks,A. Datum provides you with a wide selection of products both in our stores and online . You’ll find huge selections of consumer electronics,desktops,and all the accessories to go with them. We have a HUGE selection of HDTVs,DVD and Blu-Ray players,DVRs,Home Theater Systems,Digital Cameras,GPS Players,Digital Picture Frames and so much more! Plus,motherboards,"","","","","",""
close-up photographs of each item,In addition to our incredibly low prices,we offer world-class online content designed to provide you with the in-depth knowledge you need to make informed buying decisions. Our site features hundreds of professionally produced videos,and countless educational articles written by experts in the computer & electronics industry. You can expect fast shipping times from our warehouse – we expect that more than 90% of our orders will be shipped from our warehouse the same day you place your order. Our goal is your 100% satisfaction!,"","","","","","","","","","","","",""
7 days a week. Our representatives are some of the best in the industry – here to help you select the right products,We have a dedicated call center you can reach,24 hours a day,False,False,False,False,False,False,vlauriant@adatum.com,"","",8,False,"","",False
a8a19cdd-88df-e311-b8e5-6c3be5a8b200,"",1,1,ae695cb9-edc2-40fe-acca-2c289bbd7abc,"",Johannesburg,"",11111 William Nicol Drive,"","","","","","","",""
"",Johannesburg 2100,"","","","","","","","","","","","","","",""
"","South Africa\"",South Africa,"","",11111 William Nicol Drive,"","","",2100,"",5d8a7f40-0ee1-43bc-b5c5-5cfb96b7e2e3,1,1,1,1,dce7d4d7-fc15-eb11-a813-000d3a569529
aaa19cdd-88df-e311-b8e5-6c3be5a8b200,"",1,1,222ca4d0-a03d-49ae-ad67-06bccef5be5f,"",Vienna,"",Am Euro Platz 0101,"","","","","","","",""
"",A-1111 Vienna,"","","","","","","","","","","","","","",""
"","Austria\"",Austria,"","",Am Euro Platz 0101,"","","",A-1111,"",566d1d38-43ee-4a3c-a570-519eee2051b1,1,1,1,1,1d408340-3616-eb11-a813-000d3a569529
aca19cdd-88df-e311-b8e5-6c3be5a8b200,"",1,1,2de348c2-e231-4882-baa6-68ba0d11c817,"",Sydney,"",111100 Epping Road,"","","","","","","",""
"",North Ryde NSW 0001,"","","","","","","","","","","","","","",""
"",Sydney 0200,"","","","","","","","","","","","","","",""
"","Australia\"",Australia,"","",111100 Epping Road,North Ryde NSW 0001,"","",0200,"",ea8a2e1e-aa2a-4e62-9c29-295d0348e09d,1,1,1,1,2d478546-3616-eb11-a813-000d3a569529
aea19cdd-88df-e311-b8e5-6c3be5a8b200,"",1,1,41ba64f6-f153-4980-9995-3702827fbba3,"",Los Angeles,"",9068 Muir Road,"","","","","","","",""
"",Los Angeles,CA 23532,"","","","","","","","","","","","","",""
"","US\"",US,"","",9068 Muir Road,"","","",23532,"",e6ae24d2-c39a-4590-a6ec-850d80140e81,1,1,1,1,d63f8340-3616-eb11-a813-000d3a569529
b0a19cdd-88df-e311-b8e5-6c3be5a8b200,"",1,1,ad7eae81-5104-48c0-b6f1-c46be1d4a4b9,"",Santa Cruz,"",4405 Balboa Court,"","","","","","","",""
"",Santa Cruz,NM 72052,"","","","","","","","","","","","","",""
"","US\"",US,"","",4405 Balboa Court,"","","",72052,"",3b2ef126-e637-4961-abb8-d5fe665dc97c,1,1,1,1,2d478546-3616-eb11-a813-000d3a569529
b2a19cdd-88df-e311-b8e5-6c3be5a8b200,"",1,1,8204ba59-8629-42c2-ac9e-d0a7d2f72ca8,"",Paris,"","39, quai du Roosevelt","","","","","","","",""
"",92130 Paris,"","","","","","","","","","","","","","",""
