time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-23 00:00:00+00:00,1,1,18,2
2024-02-24 00:00:00+00:00,1,1,34,8
2024-02-25 00:00:00+00:00,1,1,8,4
2024-02-26 00:00:00+00:00,3,3,600,14
2024-02-27 00:00:00+00:00,11,6,310,37
2024-02-28 00:00:00+00:00,4,4,243,28
2024-02-29 00:00:00+00:00,3,3,99,22
2024-03-01 00:00:00+00:00,3,1,195,22
2024-03-02 00:00:00+00:00,1,1,13,8
2024-03-03 00:00:00+00:00,2,2,36,12
2024-03-04 00:00:00+00:00,5,4,136,27
2024-03-05 00:00:00+00:00,3,3,105,16
2024-03-06 00:00:00+00:00,20,9,347,37
2024-03-07 00:00:00+00:00,5,5,240,21
2024-03-08 00:00:00+00:00,18,9,189,18
2024-03-09 00:00:00+00:00,4,4,6,2
