ChannelID,ChannelName,ChannelDescription,BrandID,EntityCode
1,Stores,Retail Stores,1,Contoso
2,Online,Online Channels,1,Contoso
3,Catalogs,NA,1,Contoso
3,Catalogs,NA,1,Contoso
4,Direct sales,B2C system,1,Contoso
5,Television home shopping,Television Marketing,1,Contoso
6,Automated retailing,NA,1,Contoso
1,Stores,Retail Stores,2,Contoso
2,Online,Online Channels,2,Contoso
3,Catalogs,NA,2,Contoso
3,Catalogs,NA,2,Contoso
4,Direct sales,B2C system,2,Contoso
5,Television home shopping,Television Marketing,2,Contoso
6,Automated retailing,NA,2,Contoso
1,Stores,Retail Stores,3,Contoso
2,Online,Online Channels,3,Contoso
3,Catalogs,NA,3,Contoso
3,Catalogs,NA,3,Contoso
4,Direct sales,B2C system,3,Contoso
5,Television home shopping,Television Marketing,3,Contoso
6,Automated retailing,NA,3,Contoso
1,Stores,Retail Stores,4,Contoso
2,Online,Online Channels,4,Contoso
3,Catalogs,NA,4,Contoso
3,Catalogs,NA,4,Contoso
4,Direct sales,B2C system,4,Contoso
5,Television home shopping,Television Marketing,4,Contoso
6,Automated retailing,NA,4,Contoso
1,Stores,Retail Stores,5,Contoso
2,Online,Online Channels,5,Contoso
3,Catalogs,NA,5,Contoso
3,Catalogs,NA,5,Contoso
4,Direct sales,B2C system,5,Contoso
5,Television home shopping,Television Marketing,5,Contoso
6,Automated retailing,NA,5,Contoso
1,Stores,Retail Stores,6,Contoso
2,Online,Online Channels,6,Contoso
3,Catalogs,NA,6,Contoso
3,Catalogs,NA,6,Contoso
4,Direct sales,B2C system,6,Contoso
5,Television home shopping,Television Marketing,6,Contoso
6,Automated retailing,NA,6,Contoso
1,Stores,Retail Stores,7,Contoso
2,Online,Online Channels,7,Contoso
3,Catalogs,NA,7,Contoso
3,Catalogs,NA,7,Contoso
4,Direct sales,B2C system,7,Contoso
5,Television home shopping,Television Marketing,7,Contoso
6,Automated retailing,NA,7,Contoso
1,Stores,Retail Stores,1,WideWorldImporters
2,Online,Online Channels,1,WideWorldImporters
3,Catalogs,NA,1,WideWorldImporters
3,Catalogs,NA,1,WideWorldImporters
4,Direct sales,B2C system,1,WideWorldImporters
5,Television home shopping,Television Marketing,1,WideWorldImporters
6,Automated retailing,NA,1,WideWorldImporters
1,Stores,Retail Stores,2,WideWorldImporters
2,Online,Online Channels,2,WideWorldImporters
3,Catalogs,NA,2,WideWorldImporters
3,Catalogs,NA,2,WideWorldImporters
4,Direct sales,B2C system,2,WideWorldImporters
5,Television home shopping,Television Marketing,2,WideWorldImporters
6,Automated retailing,NA,2,WideWorldImporters
1,Stores,Retail Stores,3,WideWorldImporters
2,Online,Online Channels,3,WideWorldImporters
3,Catalogs,NA,3,WideWorldImporters
3,Catalogs,NA,3,WideWorldImporters
4,Direct sales,B2C system,3,WideWorldImporters
5,Television home shopping,Television Marketing,3,WideWorldImporters
6,Automated retailing,NA,3,WideWorldImporters
1,Stores,Retail Stores,4,WideWorldImporters
2,Online,Online Channels,4,WideWorldImporters
3,Catalogs,NA,4,WideWorldImporters
3,Catalogs,NA,4,WideWorldImporters
4,Direct sales,B2C system,4,WideWorldImporters
5,Television home shopping,Television Marketing,4,WideWorldImporters
6,Automated retailing,NA,4,WideWorldImporters
1,Stores,Retail Stores,5,WideWorldImporters
2,Online,Online Channels,5,WideWorldImporters
3,Catalogs,NA,5,WideWorldImporters
3,Catalogs,NA,5,WideWorldImporters
4,Direct sales,B2C system,5,WideWorldImporters
5,Television home shopping,Television Marketing,5,WideWorldImporters
6,Automated retailing,NA,5,WideWorldImporters
1,Stores,Retail Stores,6,WideWorldImporters
2,Online,Online Channels,6,WideWorldImporters
3,Catalogs,NA,6,WideWorldImporters
3,Catalogs,NA,6,WideWorldImporters
4,Direct sales,B2C system,6,WideWorldImporters
5,Television home shopping,Television Marketing,6,WideWorldImporters
6,Automated retailing,NA,6,WideWorldImporters
1,Stores,Retail Stores,7,WideWorldImporters
2,Online,Online Channels,7,WideWorldImporters
3,Catalogs,NA,7,WideWorldImporters
3,Catalogs,NA,7,WideWorldImporters
4,Direct sales,B2C system,7,WideWorldImporters
5,Television home shopping,Television Marketing,7,WideWorldImporters
6,Automated retailing,NA,7,WideWorldImporters
