_rid,_etag,_ts,EstimatedArrivalTime,Destination,ID,Occupancy,RouteVia,DepartureTime,BusNo,Capacity,WithHTAP
nIMOANsrEUFgAAAAAAAAAA==,"""9b07c246-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 1:00,Downtown,101,4,Courthouse,06/30/2020 0:00,45,60,0
nIMOANsrEUFhAAAAAAAAAA==,"""9b07c346-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 1:05,Downtown,102,6,Courthouse,06/30/2020 0:05,45,60,0
nIMOANsrEUFiAAAAAAAAAA==,"""9b07c446-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 1:10,Downtown,103,10,Courthouse,06/30/2020 0:10,45,60,0
nIMOANsrEUFjAAAAAAAAAA==,"""9b07c546-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 1:15,Downtown,104,12,Courthouse,06/30/2020 0:15,45,60,0
nIMOANsrEUFkAAAAAAAAAA==,"""9b07c646-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 1:20,Downtown,105,8,Courthouse,06/30/2020 0:20,45,60,0
nIMOANsrEUFlAAAAAAAAAA==,"""9b07c746-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 1:25,Downtown,106,5,Courthouse,06/30/2020 0:25,45,60,0
nIMOANsrEUFmAAAAAAAAAA==,"""9b07c846-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 1:30,Downtown,107,8,Courthouse,06/30/2020 0:30,45,60,0
nIMOANsrEUFnAAAAAAAAAA==,"""9b07c946-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 1:35,Downtown,108,14,Courthouse,06/30/2020 0:35,45,60,0
nIMOANsrEUFoAAAAAAAAAA==,"""9b07ca46-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 1:40,Downtown,109,7,Courthouse,06/30/2020 0:40,45,60,0
nIMOANsrEUFpAAAAAAAAAA==,"""9b07cb46-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 1:45,Downtown,110,9,Courthouse,06/30/2020 0:45,45,60,0
nIMOANsrEUFqAAAAAAAAAA==,"""9b07cc46-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 1:50,Downtown,111,14,Courthouse,06/30/2020 0:50,45,60,0
nIMOANsrEUFrAAAAAAAAAA==,"""9b07cd46-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 1:55,Downtown,112,12,Courthouse,06/30/2020 0:55,45,60,0
nIMOANsrEUFsAAAAAAAAAA==,"""9b07ce46-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 2:00,Downtown,113,4,Courthouse,06/30/2020 1:00,45,60,0
nIMOANsrEUFtAAAAAAAAAA==,"""9b07cf46-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 2:05,Downtown,114,13,Courthouse,06/30/2020 1:05,45,60,0
nIMOANsrEUFuAAAAAAAAAA==,"""9b07d046-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 2:10,Downtown,115,12,Courthouse,06/30/2020 1:10,45,60,0
nIMOANsrEUFvAAAAAAAAAA==,"""9b07d146-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 2:15,Downtown,116,7,Courthouse,06/30/2020 1:15,45,60,0
nIMOANsrEUFwAAAAAAAAAA==,"""9b07d246-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 2:20,Downtown,117,4,Courthouse,06/30/2020 1:20,45,60,0
nIMOANsrEUFxAAAAAAAAAA==,"""9b07d346-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 2:25,Downtown,118,14,Courthouse,06/30/2020 1:25,45,60,0
nIMOANsrEUFyAAAAAAAAAA==,"""9b07d446-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 2:30,Downtown,119,5,Courthouse,06/30/2020 1:30,45,60,0
nIMOANsrEUFzAAAAAAAAAA==,"""9b07d546-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 2:35,Downtown,120,11,Courthouse,06/30/2020 1:35,45,60,0
nIMOANsrEUF0AAAAAAAAAA==,"""9b07d646-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 2:40,Downtown,121,13,Courthouse,06/30/2020 1:40,45,60,0
nIMOANsrEUF1AAAAAAAAAA==,"""9b07d746-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 2:45,Downtown,122,6,Courthouse,06/30/2020 1:45,45,60,0
nIMOANsrEUF2AAAAAAAAAA==,"""9b07d846-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 2:50,Downtown,123,12,Courthouse,06/30/2020 1:50,45,60,0
nIMOANsrEUF3AAAAAAAAAA==,"""9b07d946-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 2:55,Downtown,124,13,Courthouse,06/30/2020 1:55,45,60,0
nIMOANsrEUF4AAAAAAAAAA==,"""9b07da46-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 3:00,Downtown,125,10,Courthouse,06/30/2020 2:00,45,60,0
nIMOANsrEUF5AAAAAAAAAA==,"""9b07db46-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 3:05,Downtown,126,11,Courthouse,06/30/2020 2:05,45,60,0
nIMOANsrEUF6AAAAAAAAAA==,"""9b07dc46-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 3:10,Downtown,127,7,Courthouse,06/30/2020 2:10,45,60,0
nIMOANsrEUF7AAAAAAAAAA==,"""9b07dd46-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 3:15,Downtown,128,10,Courthouse,06/30/2020 2:15,45,60,0
nIMOANsrEUF8AAAAAAAAAA==,"""9b07de46-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 3:20,Downtown,129,8,Courthouse,06/30/2020 2:20,45,60,0
nIMOANsrEUF9AAAAAAAAAA==,"""9b07df46-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 3:25,Downtown,130,8,Courthouse,06/30/2020 2:25,45,60,0
nIMOANsrEUF+AAAAAAAAAA==,"""9b07e046-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 3:30,Downtown,131,10,Courthouse,06/30/2020 2:30,45,60,0
nIMOANsrEUF-AAAAAAAAAA==,"""9b07e146-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 3:35,Downtown,132,8,Courthouse,06/30/2020 2:35,45,60,0
nIMOANsrEUGAAAAAAAAAAA==,"""9b07e246-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 3:40,Downtown,133,5,Courthouse,06/30/2020 2:40,45,60,0
nIMOANsrEUGBAAAAAAAAAA==,"""9b07e346-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 3:45,Downtown,134,13,Courthouse,06/30/2020 2:45,45,60,0
nIMOANsrEUGCAAAAAAAAAA==,"""9b07e446-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 3:50,Downtown,135,4,Courthouse,06/30/2020 2:50,45,60,0
nIMOANsrEUGDAAAAAAAAAA==,"""9b07e546-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 3:55,Downtown,136,8,Courthouse,06/30/2020 2:55,45,60,0
nIMOANsrEUGEAAAAAAAAAA==,"""9b07e646-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 4:00,Downtown,137,6,Courthouse,06/30/2020 3:00,45,60,0
nIMOANsrEUGFAAAAAAAAAA==,"""9b07e746-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 4:05,Downtown,138,12,Courthouse,06/30/2020 3:05,45,60,0
nIMOANsrEUGGAAAAAAAAAA==,"""9b07e846-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 4:10,Downtown,139,13,Courthouse,06/30/2020 3:10,45,60,0
nIMOANsrEUGHAAAAAAAAAA==,"""9b07e946-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 4:15,Downtown,140,12,Courthouse,06/30/2020 3:15,45,60,0
nIMOANsrEUGIAAAAAAAAAA==,"""9b07ea46-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 4:20,Downtown,141,8,Courthouse,06/30/2020 3:20,45,60,0
nIMOANsrEUGJAAAAAAAAAA==,"""9b07eb46-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 4:25,Downtown,142,6,Courthouse,06/30/2020 3:25,45,60,0
nIMOANsrEUGKAAAAAAAAAA==,"""9b07ec46-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 4:30,Downtown,143,9,Courthouse,06/30/2020 3:30,45,60,0
nIMOANsrEUGLAAAAAAAAAA==,"""9b07ed46-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 4:35,Downtown,144,13,Courthouse,06/30/2020 3:35,45,60,0
nIMOANsrEUGMAAAAAAAAAA==,"""9b07ee46-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 4:40,Downtown,145,12,Courthouse,06/30/2020 3:40,45,60,0
nIMOANsrEUGNAAAAAAAAAA==,"""9b07ef46-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 4:45,Downtown,146,7,Courthouse,06/30/2020 3:45,45,60,0
nIMOANsrEUGOAAAAAAAAAA==,"""9b07f046-0000-0700-0000-62ced58d0000""",1657722253,06/30/2020 4:50,Downtown,147,12,Courthouse,06/30/2020 3:50,45,60,0
