"machineID","model","age"
1,"model2",18
2,"model4",7
3,"model3",8
4,"model3",7
5,"model2",2
6,"model3",7
7,"model4",20
8,"model3",16
9,"model1",7
10,"model1",10
11,"model4",6
12,"model2",9
13,"model3",15
14,"model4",1
15,"model4",14
16,"model3",3
17,"model4",14
18,"model4",15
19,"model4",17
20,"model2",16
21,"model3",14
22,"model4",14
23,"model3",17
24,"model1",20
25,"model4",16
26,"model3",3
27,"model2",9
28,"model4",1
29,"model3",3
30,"model3",20
31,"model3",11
32,"model2",15
33,"model3",14
34,"model1",10
35,"model4",17
36,"model3",5
37,"model4",16
38,"model4",15
39,"model1",0
40,"model3",4
41,"model1",9
42,"model3",7
43,"model4",14
44,"model2",7
45,"model1",14
46,"model4",10
47,"model4",6
48,"model3",10
49,"model3",15
50,"model2",4
51,"model3",19
52,"model2",14
53,"model3",5
54,"model3",10
55,"model4",17
56,"model3",10
57,"model4",10
58,"model1",5
59,"model4",17
60,"model2",3
61,"model4",2
62,"model4",20
63,"model2",14
64,"model3",20
65,"model3",15
66,"model2",6
67,"model1",14
68,"model3",10
69,"model4",19
70,"model3",9
71,"model3",18
72,"model3",2
73,"model3",20
74,"model3",4
75,"model4",19
76,"model3",10
77,"model3",12
78,"model3",19
79,"model4",14
80,"model4",6
81,"model4",1
82,"model1",11
83,"model1",18
84,"model3",9
85,"model3",16
86,"model3",2
87,"model4",12
88,"model3",14
89,"model3",17
90,"model4",2
91,"model3",17
92,"model3",2
93,"model3",18
94,"model3",18
95,"model4",18
96,"model3",10
97,"model2",14
98,"model2",20
99,"model2",14
100,"model4",5
101,"model3",20
102,"model4",9
103,"model3",15
104,"model3",16
105,"model3",18
106,"model3",14
107,"model3",17
108,"model4",18
109,"model4",11
110,"model4",20
111,"model2",6
112,"model3",18
113,"model3",1
114,"model1",18
115,"model3",16
116,"model1",1
117,"model2",1
118,"model3",15
119,"model2",18
120,"model3",4
121,"model3",5
122,"model2",1
123,"model3",0
124,"model2",1
125,"model3",10
126,"model4",15
127,"model4",15
128,"model3",10
129,"model2",10
130,"model3",14
131,"model1",0
