sku,group,attribute_set_code,product_type,categories,name,description,short_description,price,size,color,ProductId
new-Default-simple-Proseware m blue-L-SaddleBrown,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Proseware m blue,Proseware m blue Description,Proseware m blue Short Description,11,L,SaddleBrown,1
new-Default-simple-Reskit x blue-L-DarkCyan,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Reskit x blue,Reskit x blue Description,Reskit x blue Short Description,15,L,DarkCyan,2
new-Default-configurable-Proseware xl blaCronus International-XL-LightSteelBlue,new,Default,configurable,"Default Category/Collections/Performance Fabrics,Default Category",Proseware xl blaCronus International,Proseware xl blaCronus International Description,Proseware xl blaCronus International Short Description,12,XL,LightSteelBlue,3
new-Default-simple-Reskit m blaCronus International-XL-Sienna,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Reskit m blaCronus International,Reskit m blaCronus International Description,Reskit m blaCronus International Short Description,3,XL,Sienna,4
new-Default-simple-Proseware m blaCronus International-X-DarkGreen,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Proseware m blaCronus International,Proseware m blaCronus International Description,Proseware m blaCronus International Short Description,15,X,DarkGreen,5
new-Default-simple-Fabrikam xl pink-L-LightCyan,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam xl pink,Fabrikam xl pink Description,Fabrikam xl pink Short Description,3,L,LightCyan,6
new-Default-simple-Proseware x green-S-OrangeRed,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Proseware x green,Proseware x green Description,Proseware x green Short Description,6,S,OrangeRed,7
new-Default-simple-Cronus International xl pink-S-BurlyWood,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Cronus International xl pink,Cronus International xl pink Description,Cronus International xl pink Short Description,5,S,BurlyWood,8
new-Default-simple-Proseware x gray-M-SteelBlue,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Proseware x gray,Proseware x gray Description,Proseware x gray Short Description,6,M,SteelBlue,9
new-Default-simple-Proseware x blue-XS-DarkGrey,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Proseware x blue,Proseware x blue Description,Proseware x blue Short Description,10,XS,DarkGrey,10
new-Default-simple-Proseware xl pink-L-Yellow,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Proseware xl pink,Proseware xl pink Description,Proseware xl pink Short Description,5,L,Yellow,11
new-Default-simple-Fabrikam x pink-L-Azure,new,Default,simple,"Default Category/Collections/Performance Fabrics,Default Category",Fabrikam x pink,Fabrikam x pink Description,Fabrikam x pink Short Description,5,L,Azure,12
