1,Fiction,Novels
2,Fiction,Modern
3,Fiction,Historical
4,Fiction,Adventure
5,Fiction,Short Stories
6,Fiction,Poetry & Drama
7,Romance,Historical
8,Romance,Suspense
9,Romance,Fantasy
10,Romance,Contemporary
11,Romance,Erotica
12,History,Ancient
13,History,Military
14,History,European
15,History,World
16,History,Culture
17,History,Nature
18,History,First World War
19,History,Second World War
20,Sci-fi,Science Fiction
21,Sci-fi,Classic
22,Sci-fi,Myths & Fairy Tales
23,Travel,Holiday
24,Travel,Guides
25,Travel,Adventure
26,Travel,Travelogues
27,Fiction,Crime & Thrillers
28,Personal Development,Health
29,Fiction,Classic
30,Biographies,Autobiographies
31,Trending Now,Trending Now in UK
32,New Releases,Selected New Releases
33,Romance,Best of Romance
34,Children,Fun
35,Favorites,All Time Favorites
