product_id,product_name,category,price,is_in_stock,image_url,location,tags
RET-000001,Apex Bold Building Blocks,Toys,77.66,True,https://picsum.photos/seed/RET-000001/400/400,"{""city"": ""Los Angeles"", ""state"": ""CA"", ""country"": ""USA"", ""lat"": 34.0522, ""lon"": -118.2437}","[""STEM"", ""age-6+"", ""collectible""]"
RET-000002,Pulse Classic Smartwatch,Electronics,1902.89,True,https://picsum.photos/seed/RET-000002/400/400,"{""city"": ""Miami"", ""state"": ""FL"", ""country"": ""USA"", ""lat"": 25.7617, ""lon"": -80.1918}","[""4K"", ""new"", ""wireless""]"
RET-000003,Swift Flex Doll,Toys,147.01,True,https://picsum.photos/seed/RET-000003/400/400,"{""city"": ""Bengaluru"", ""state"": ""Karnataka"", ""country"": ""India"", ""lat"": 12.9716, ""lon"": 77.5946}","[""STEM"", ""age-12+"", ""educational"", ""family""]"
RET-000004,Solace Max Vacuum Cleaner,Home & Kitchen,364.62,False,https://picsum.photos/seed/RET-000004/400/400,"{""city"": ""Toronto"", ""state"": ""ON"", ""country"": ""Canada"", ""lat"": 43.6532, ""lon"": -79.3832}","[""compact"", ""energy-efficient""]"
RET-000005,Aurora Eco Headphones,Electronics,353.24,True,https://picsum.photos/seed/RET-000005/400/400,"{""city"": ""Mountain View"", ""state"": ""CA"", ""country"": ""USA"", ""lat"": 37.3861, ""lon"": -122.0839}","[""4K"", ""bluetooth"", ""fast-charge"", ""new"", ""wireless""]"
RET-000006,EverPeak Eco Pasta,Grocery,9.33,True,https://picsum.photos/seed/RET-000006/400/400,"{""city"": ""Berlin"", ""state"": ""Berlin"", ""country"": ""Germany"", ""lat"": 52.52, ""lon"": 13.405}","[""gluten-free"", ""organic""]"
RET-000007,Nimbus Max Olive Oil,Grocery,4.73,False,https://picsum.photos/seed/RET-000007/400/400,"{""city"": ""London"", ""state"": ""London"", ""country"": ""UK"", ""lat"": 51.5074, ""lon"": -0.1278}","[""fair-trade"", ""gluten-free"", ""keto"", ""vegan""]"
RET-000008,BlueLeaf Lite Coffee Maker,Home & Kitchen,520.85,True,https://picsum.photos/seed/RET-000008/400/400,"{""city"": ""Osaka"", ""state"": ""Osaka"", ""country"": ""Japan"", ""lat"": 34.6937, ""lon"": 135.5023}","[""dishwasher-safe"", ""stainless""]"
RET-000009,Vertex Ultra Cycling Helmet,Sports,303.95,True,https://picsum.photos/seed/RET-000009/400/400,"{""city"": ""Dallas"", ""state"": ""TX"", ""country"": ""USA"", ""lat"": 32.7767, ""lon"": -96.797}","[""durable"", ""outdoor"", ""pro""]"
RET-000010,Apex Eco Socks,Apparel,214.34,True,https://picsum.photos/seed/RET-000010/400/400,"{""city"": ""Seattle"", ""state"": ""WA"", ""country"": ""USA"", ""lat"": 47.6062, ""lon"": -122.3321}","[""casual"", ""formal"", ""winter""]"
