Id,CampaignId,CampaignName,CampaignStartDate,CampaignEndDate,Cost,ROI,LeadGeneration,RevenueTarget,CampaignTactic,Profit,MarketingCost
2653,50,Get Sporty,5/25/2018,8/25/2018,1000,1,100,1000,100,-129600,117351
2930,11,Wheels of Steel,2/9/2018,5/9/2018,1000,1,100,1000,100,0,33541
4753,25,Racer Club,10/19/2018,1/19/2019,1000,1,100,1000,100,190800,53992
771,21,Wheels That Matter,3/4/2018,6/4/2018,1000,1,100,1000,100,-16800,36652
40,11,Wheels of Steel,9/4/2018,12/4/2018,1000,1,100,1000,100,166800,280795.56
3733,11,Wheels of Steel,7/2/2018,10/2/2018,1000,1,100,1000,100,-18000,65722
6,21,Wheels That Matter,7/18/2018,10/18/2018,1000,1,100,1000,100,30000,644238.9
5510,50,Get Sporty,1/9/2018,4/9/2018,1000,1,100,1000,100,-64800,46444
6,25,Racer Club,7/6/2018,10/6/2018,1000,1,100,1000,100,240000,946150.51
66,21,Wheels That Matter,8/5/2018,11/5/2018,1000,1,100,1000,100,265200,464323.77
74,25,Racer Club,12/17/2018,3/17/2019,1000,1,100,1000,100,-57600,18512.64
2930,11,Wheels of Steel,10/2/2018,1/2/2019,1000,1,100,1000,100,-91200,33541
2810,11,Wheels of Steel,2/17/2018,5/17/2018,1000,1,100,1000,100,-156000,118524
80,11,Wheels of Steel,7/1/2018,10/1/2018,1000,1,100,1000,100,3600,519663.17
83,21,Wheels That Matter,4/7/2018,7/7/2018,1000,1,100,1000,100,82800,423324.76
51,11,Wheels of Steel,2/26/2018,5/26/2018,1000,1,100,1000,100,8400,624030.44
91,50,Get Sporty,4/12/2018,7/12/2018,1000,1,100,1000,100,15600,800.16
17,11,Wheels of Steel,8/5/2018,11/5/2018,1000,1,100,1000,100,-124800,365542.35
247,21,Wheels That Matter,4/9/2018,7/9/2018,1000,1,100,1000,100,-39600,18156
43,45,Beyond Wheels,11/17/2018,2/17/2019,1000,1,100,1000,100,240000,347378.86
8030,50,Get Sporty,11/30/2018,2/28/2019,1000,1,100,1000,100,124800,41956
1490,11,Wheels of Steel,11/2/2018,2/2/2019,1000,1,100,1000,100,-111600,113288
12,45,Beyond Wheels,3/29/2018,6/29/2018,1000,1,100,1000,100,58800,309399.69
13,50,Get Sporty,1/1/2018,4/1/2018,1000,1,100,1000,100,10800,58528.38
1453,50,Get Sporty,5/19/2018,8/19/2018,1000,1,100,1000,100,108000,93568
4753,25,Racer Club,1/14/2018,4/14/2018,1000,1,100,1000,100,3600,53992
64,25,Racer Club,5/24/2018,8/24/2018,1000,1,100,1000,100,-60000,149685.76
2870,11,Wheels of Steel,4/18/2018,7/18/2018,1000,1,100,1000,100,-36000,43724
4273,11,Wheels of Steel,3/12/2018,6/12/2018,1000,1,100,1000,100,-64800,79934
4250,25,Racer Club,3/18/2018,6/18/2018,1000,1,100,1000,100,240000,36771
3733,11,Wheels of Steel,9/6/2018,12/6/2018,1000,1,100,1000,100,-139200,65722
27,11,Wheels of Steel,7/31/2018,10/31/2018,1000,1,100,1000,100,22800,442795.76
4730,34,Fun with Colors,8/18/2018,11/18/2018,1000,1,100,1000,100,93600,63750
85,50,Get Sporty,6/17/2018,9/17/2018,1000,1,100,1000,100,164400,726802.61
92,11,Wheels of Steel,7/8/2018,10/8/2018,1000,1,100,1000,100,39600,531453.23
3110,11,Wheels of Steel,10/7/2018,1/7/2019,1000,1,100,1000,100,-12000,79934
3733,11,Wheels of Steel,4/11/2018,7/11/2018,1000,1,100,1000,100,-31200,65722
80,11,Wheels of Steel,8/21/2018,11/21/2018,1000,1,100,1000,100,124800,126916.92
4250,25,Racer Club,3/6/2018,6/6/2018,1000,1,100,1000,100,240000,36771
10550,21,Wheels That Matter,2/6/2018,5/6/2018,1000,1,100,1000,100,75600,35547
4753,25,Racer Club,8/24/2018,11/24/2018,1000,1,100,1000,100,240000,53992
1513,50,Get Sporty,3/29/2018,6/29/2018,1000,1,100,1000,100,-34800,116654
590,45,Beyond Wheels,11/9/2018,2/9/2019,1000,1,100,1000,100,39600,48586
4070,25,Racer Club,11/8/2018,2/8/2019,1000,1,100,1000,100,74400,53992
4070,25,Racer Club,6/3/2018,9/3/2018,1000,1,100,1000,100,32400,53992
651,21,Wheels That Matter,1/23/2018,4/23/2018,1000,1,100,1000,100,124800,26112
64,25,Racer Club,10/4/2018,1/4/2019,1000,1,100,1000,100,-78000,149685.76
21,50,Get Sporty,1/17/2018,4/17/2018,1000,1,100,1000,100,39600,531924.38
2270,11,Wheels of Steel,3/18/2018,6/18/2018,1000,1,100,1000,100,63600,64141
58,25,Racer Club,12/12/2018,3/12/2019,1000,1,100,1000,100,240000,535717.57
51,11,Wheels of Steel,11/7/2018,2/7/2019,1000,1,100,1000,100,-64800,624030.44
1250,11,Wheels of Steel,3/22/2018,6/22/2018,1000,1,100,1000,100,124800,112302
1213,50,Get Sporty,4/29/2018,7/29/2018,1000,1,100,1000,100,-211200,73185
15,25,Racer Club,3/7/2018,6/7/2018,1000,1,100,1000,100,51600,613350.1
4753,25,Racer Club,8/27/2018,11/27/2018,1000,1,100,1000,100,301200,53992
26,11,Wheels of Steel,1/19/2018,4/19/2018,1000,1,100,1000,100,58800,563815.23
90,11,Wheels of Steel,4/3/2018,7/3/2018,1000,1,100,1000,100,-8400,197062.59
2233,50,Get Sporty,6/21/2018,9/21/2018,1000,1,100,1000,100,240000,26656
6950,50,Get Sporty,3/25/2018,6/25/2018,1000,1,100,1000,100,130800,118881
7,25,Racer Club,8/16/2018,11/16/2018,1000,1,100,1000,100,-57600,881446.47
3290,11,Wheels of Steel,10/24/2018,1/24/2019,1000,1,100,1000,100,-8400,25551
100,25,Racer Club,8/20/2018,11/20/2018,1000,1,100,1000,100,30000,743829.1
67,50,Get Sporty,11/27/2018,2/27/2019,1000,1,100,1000,100,130800,587707.65
30,11,Wheels of Steel,6/15/2018,9/15/2018,1000,1,100,1000,100,19200,306179.49
4753,25,Racer Club,1/26/2018,4/26/2018,1000,1,100,1000,100,-31200,53992
52,11,Wheels of Steel,4/13/2018,7/13/2018,1000,1,100,1000,100,124800,549515.34
1010,45,Beyond Wheels,10/16/2018,1/16/2019,1000,1,100,1000,100,112800,28730
3290,11,Wheels of Steel,7/12/2018,10/12/2018,1000,1,100,1000,100,14400,25551
1633,50,Get Sporty,9/28/2018,12/28/2018,1000,1,100,1000,100,124800,50286
80,11,Wheels of Steel,1/1/2018,4/1/2018,1000,1,100,1000,100,285600,126916.92
3230,11,Wheels of Steel,2/17/2018,5/17/2018,1000,1,100,1000,100,27600,110092
4813,25,Racer Club,3/18/2018,6/18/2018,1000,1,100,1000,100,-8400,79492
3853,11,Wheels of Steel,11/16/2018,2/16/2019,1000,1,100,1000,100,168000,64141
1970,11,Wheels of Steel,7/11/2018,10/11/2018,1000,1,100,1000,100,-88800,103105
4753,25,Racer Club,8/21/2018,11/21/2018,1000,1,100,1000,100,-111600,53992
74,105,Hit the track,11/28/2018,2/28/2019,1000,1,100,1000,100,82800,270686.13
70,34,Fun with Colors,12/5/2018,3/5/2019,1000,1,100,1000,100,1200,674271.21
7,25,Racer Club,11/27/2018,2/27/2019,1000,1,100,1000,100,10800,881446.47
58,25,Racer Club,12/27/2018,3/27/2019,1000,1,100,1000,100,120000,272576.39
4070,25,Racer Club,10/22/2018,1/22/2019,1000,1,100,1000,100,-39600,53992
76,11,Wheels of Steel,1/4/2018,4/4/2018,1000,1,100,1000,100,16800,617067.62
2330,11,Wheels of Steel,5/29/2018,8/29/2018,1000,1,100,1000,100,42000,41208
4250,25,Racer Club,8/10/2018,11/10/2018,1000,1,100,1000,100,124800,36771
3733,11,Wheels of Steel,12/15/2018,3/15/2019,1000,1,100,1000,100,49200,65722
1790,11,Wheels of Steel,2/24/2018,5/24/2018,1000,1,100,1000,100,128400,91698
66,25,Racer Club,3/19/2018,6/19/2018,1000,1,100,1000,100,-8400,140315.89
2930,11,Wheels of Steel,2/4/2018,5/4/2018,1000,1,100,1000,100,-87600,33541
