age,marital,housing,loan,contact,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,churn,education_basic.4y,education_basic.6y,education_basic.9y,education_high.school,education_professional.course,education_university.degree,poutcome_failure,poutcome_nonexistent,poutcome_success,job_admin.,job_blue-collar,job_entrepreneur,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed
56,1,1,1,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
57,1,1,1,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
37,1,2,1,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
40,1,1,1,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
56,1,1,2,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
45,1,1,1,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
59,1,1,1,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
41,1,1,1,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
24,3,2,1,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
25,3,2,1,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
41,1,1,1,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
25,3,2,1,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
29,3,1,2,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
