_date,total_clones,unique_clones
2020-11-04,1,1
2020-11-05,6,6
2020-11-06,4,3
2020-11-07,2,2
2020-11-08,1,1
2020-11-09,8,6
2020-11-10,3,3
2020-11-11,9,7
2020-11-12,3,3
2020-11-13,2,2
2020-11-15,1,1
2020-11-16,1,1
2020-11-17,8,8
2020-11-18,7,6
2020-11-19,8,8
2020-11-20,7,7
2020-11-21,5,5
2020-11-22,5,5
2020-11-23,6,6
2020-11-24,7,5
2020-11-25,2,2
2020-11-26,8,7
2020-11-27,4,4
2020-11-28,2,2
2020-11-29,1,1
2020-11-30,4,4
2020-12-01,1,1
2020-12-02,8,8
2020-12-03,3,3
2020-12-04,2,2
2020-12-05,1,1
2020-12-06,2,2
2020-12-07,3,3
2020-12-08,3,3
2020-12-09,1,1
2020-12-10,1,1
2020-12-11,3,3
2020-12-12,2,2
2020-12-13,3,3
2020-12-14,3,3
2020-12-15,4,4
2020-12-16,1,1
2020-12-17,2,2
2020-12-18,1,1
2020-12-19,1,1
2020-12-21,5,4
2020-12-22,3,3
2020-12-23,3,3
2020-12-24,2,2
2020-12-25,1,1
2020-12-26,1,1
2020-12-27,2,2
2020-12-28,1,1
2020-12-29,1,1
2020-12-30,1,1
2020-12-31,2,1
2021-01-01,2,2
2021-01-02,1,1
2021-01-03,1,1
2021-01-04,285,2
2021-01-05,4,2
2021-01-06,3,2
2021-01-07,7,7
2021-01-08,1,1
2021-01-09,1,1
2021-01-10,2,2
2021-01-11,1,1
2021-01-12,1,1
2021-01-13,2,2
2021-01-14,3,3
2021-01-15,2,2
2021-01-16,2,2
2021-01-17,2,2
2021-01-18,5,3
2021-01-19,4,2
2021-01-20,1,1
2021-01-21,9,4
2021-01-22,1,1
2021-01-23,2,2
2021-01-24,1,1
2021-01-25,1,1
2021-01-26,2,2
2021-01-27,9,5
2021-01-28,1,1
2021-01-29,1,1
2021-01-30,2,2
2021-01-31,2,2
2021-02-01,3,3
2021-02-02,5,4
2021-02-03,8,6
2021-02-04,3,3
2021-02-05,10,8
2021-02-06,3,3
2021-02-07,3,3
2021-02-08,14,11
2021-02-09,11,9
2021-02-10,7,5
2021-02-11,4,4
2021-02-12,2,2
2021-02-13,5,5
2021-02-14,5,5
2021-02-15,8,8
2021-02-16,4,4
2021-02-17,5,5
2021-02-18,2,2
2021-02-19,1,1
2021-02-20,2,2
2021-02-21,5,5
2021-02-22,2,2
2021-02-23,2,2
2021-02-24,2,2
2021-02-25,3,3
2021-02-26,3,3
2021-02-27,4,4
2021-02-28,2,2
2021-03-01,4,3
2021-03-02,5,5
2021-03-03,6,5
2021-03-04,2,2
2021-03-05,3,3
2021-03-06,1,1
2021-03-07,1,1
2021-03-08,1,1
2021-03-09,1,1
2021-03-10,1,1
2021-03-11,4,4
2021-03-12,2,2
2021-03-13,1,1
2021-03-14,1,1
2021-03-15,1,1
2021-03-16,3,2
2021-03-17,5,4
2021-03-18,2,2
2021-03-19,2,2
2021-03-20,1,1
2021-03-21,2,2
2021-03-22,1,1
2021-03-23,6,2
2021-03-24,14,3
2021-03-25,2,2
2021-03-26,4,4
2021-03-27,2,1
2021-03-28,1,1
2021-03-29,4,4
2021-03-30,2,2
2021-03-31,2,2
2021-04-01,1,1
2021-04-02,2,2
2021-04-03,5,5
2021-04-04,4,4
2021-04-05,3,3
2021-04-06,6,4
2021-04-07,3,3
2021-04-09,4,4
2021-04-10,3,3
2021-04-11,4,4
2021-04-12,10,10
2021-04-13,10,7
2021-04-14,3,3
2021-04-15,2,2
2021-04-16,3,3
2021-04-17,3,3
2021-04-18,2,2
2021-04-19,2,2
2021-04-20,1,1
2021-04-21,5,4
2021-04-22,8,7
2021-04-23,3,3
2021-04-24,1,1
2021-04-25,5,5
2021-04-26,3,3
2021-04-27,4,3
2021-04-28,1,1
2021-04-29,4,3
2021-04-30,12,6
2021-05-01,3,3
2021-05-02,4,4
2021-05-03,6,5
2021-05-04,5,5
2021-05-05,6,6
2021-05-06,5,4
2021-05-07,6,5
2021-05-08,6,5
2021-05-09,3,3
2021-05-10,3,3
